id,price,qty,quote_qty,time,is_buyer_maker
3158762256,16776.3,0.012,201.31,1671840003624,true
3158762257,16776.3,0.035,587.17,1671840003630,true
3158762258,16776.3,0.03,503.28,1671840003646,true
3158762259,16776.4,0.013,218.09,1671840003655,false
3158762260,16776.3,0.012,201.31,1671840003655,true
3158762261,16776.3,0.009,150.98,1671840003658,true
3158762262,16776.3,0.278,4663.81,1671840003659,true
3158762263,16776.4,0.001,16.77,1671840003676,false
3158762264,16776.3,1.399,23470.04,1671840003678,true
3158762265,16776.3,0.004,67.10,1671840003678,true
3158762266,16776.3,0.282,4730.91,1671840003678,true
3158762267,16776.3,0.32,5368.41,1671840003678,true
3158762268,16776.3,1.06,17782.87,1671840003678,true
3158762269,16776.4,0.097,1627.31,1671840003690,false
3158762270,16776.3,0.012,201.31,1671840003704,true
3158762271,16776.3,0.01,167.76,1671840003710,true
3158762272,16776.3,0.011,184.53,1671840003724,true
3158762273,16776.4,0.003,50.32,1671840003725,false
3158762274,16776.3,0.007,117.43,1671840003731,true
